사업장명,인허가일자,상세영업상태명,소재지전화,도로명주소,지번주소,위도,경도,업태구분명,의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용명,데이터기준일자
한사랑요양병원,2007-10-16,영업중,063-231-4800,전라북도 전주시 완산구 용머리로 251 (서완산동2가),전라북도 전주시 완산구 서완산동2가 80-126,35.80946277,127.1369315,요양병원(일반요양병원),요양병원(일반요양병원),12,31,128,3175.81,내과+소아청소년과+이비인후과+피부과+비뇨의학과+가정의학과+한방내과,2022-06-30
한솔요양병원,2012-09-14,영업중,063-228-1122,전라북도 전주시 완산구 장승배기로 46 (삼천동1가),전라북도 전주시 완산구 삼천동1가 306-5,35.79204365,127.117843,요양병원(일반요양병원),요양병원(일반요양병원),29,56,311,5554.26,내과+정형외과+재활의학과+가정의학과+한방내과+한방재활의학과+침구과,2022-06-30
한양병원,2002-03-22,영업중,063-220-5000,전라북도 전주시 완산구 장승배기로 204 (평화동1가),전라북도 전주시 완산구 평화동1가 711-1,35.79614908,127.1351589,병원,병원,12,38,123,3646,내과+신경과+외과+정형외과+신경외과+마취통증의학과+소아청소년과+이비인후과+피부과+비뇨의학과+영상의학과+진단검사의학과+재활의학과+가정의학과,2022-06-30
해맑은요양병원,2017-04-12,영업중,063-231-1100,전라북도 전주시 완산구 팔달로 202-15 (경원동3가),전라북도 전주시 완산구 경원동3가 38-3,35.82076356,127.1468816,요양병원(일반요양병원),요양병원(일반요양병원),13,37,132,3618.93,내과+방사선종양학과+한방내과,2022-06-30
해빛한방병원,2020-04-06,영업중,063-715-5119,전라북도 전주시 덕진구 사근1길 10 (송천동2가),전라북도 전주시 덕진구 송천동2가 175-52,35.86644046,127.1281026,한방병원,한방병원,0,26,82,2489.23,가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
행복한요양병원,2016-07-15,영업중,063-240-7000,전라북도 전주시 덕진구 백제대로 700 (덕진동1가),전라북도 전주시 덕진구 인후동2가 1529-8,35.84409619,127.1459579,요양병원(일반요양병원),요양병원(일반요양병원),12,39,169,3531.3,내과+외과+가정의학과+한방내과,2022-06-30
허병원,1994-04-11,영업중,063-254-5599,전라북도 전주시 덕진구 조경단로 103 (금암동),전라북도 전주시 덕진구 금암동 1546-9,35.84339489,127.1385217,병원,병원,13,16,69,1566.12,내과+신경과+정신건강의학과,2022-06-30
효사랑가족요양병원,2007-06-11,영업중,063-711-1111,전라북도 전주시 완산구 용머리로 77 (효자동1가),전라북도 전주시 완산구 효자동1가 292,35.80670515,127.1188344,요양병원(일반요양병원),요양병원(일반요양병원),55,164,793,23025.6,내과+외과+정형외과+재활의학과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
효사랑전주요양병원,2006-05-26,영업중,063-278-8288,전라북도 전주시 완산구 팔달로 272 (서노송동),전라북도 전주시 완산구 서노송동 649-5,35.82643891,127.1441051,요양병원(일반요양병원),요양병원(일반요양병원),41,53,314,7172,내과+재활의학과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
효성의료재단 새전주요양병원,2013-09-04,영업중,063-213-8275,전라북도 전주시 덕진구 여암1길 37 (여의동),전라북도 전주시 덕진구 여의동 626-2,35.87001072,127.0731777,요양병원(일반요양병원),요양병원(일반요양병원),21,32,188,4127.58,외과+가정의학과+한방내과+침구과,2022-06-30
효천한방병원,2019-08-28,영업중,063-274-0365,전라북도 전주시 완산구 쑥고개로 331 (효자동2가),전라북도 전주시 완산구 효자동2가 1214-10,35.80291999,127.1013645,한방병원,한방병원,20,22,72,1341.98,가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+침구과,2022-06-30
힐링요양병원,2021-12-21,영업중,063-272-2200,전라북도 전주시 덕진구 떡전로 15 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1119-1,35.83604211,127.1275584,요양병원(일반요양병원),요양병원(일반요양병원),7,25,75,2455.55,내과+외과+산부인과+가정의학과+한방내과+침구과,2022-06-30
